model_group_id,forecast_target,interval_strategy,interval_count,train_start_year,train_end_year,effective_interval_count,duplicate_boundary_count,antecedent_state,consequent_states,consequent_counts,transition_count,forecast_yield,defuzzification
chen_pct_change_equal_k5,percentage_change,equal_length,5,1961,2023,5,0,A1,A5;A3,A5:2;A3:1,3,21.745030218917293,frequency_weighted_midpoint
chen_pct_change_equal_k5,percentage_change,equal_length,5,1961,2023,5,0,A2,A3;A4;A2;A1,A3:5;A4:5;A2:3;A1:1,14,3.4752742637155403,frequency_weighted_midpoint
chen_pct_change_equal_k5,percentage_change,equal_length,5,1961,2023,5,0,A3,A3;A2;A4;A5;A1,A3:16;A2:5;A4:4;A5:2;A1:1,28,3.9646427268013014,frequency_weighted_midpoint
chen_pct_change_equal_k5,percentage_change,equal_length,5,1961,2023,5,0,A4,A3;A2;A4;A5,A3:5;A2:4;A4:1;A5:1,11,2.229609084951785,frequency_weighted_midpoint
chen_pct_change_equal_k5,percentage_change,equal_length,5,1961,2023,5,0,A5,A2;A1;A3;A4,A2:2;A1:1;A3:1;A4:1,5,-4.746115916125246,frequency_weighted_midpoint
chen_pct_change_equal_k7,percentage_change,equal_length,7,1961,2023,7,0,A1,A4;A6,A4:1;A6:1,2,13.262643525430768,frequency_weighted_midpoint
chen_pct_change_equal_k7,percentage_change,equal_length,7,1961,2023,7,0,A2,A5;A3;A4;A7,A5:3;A3:1;A4:1;A7:1,6,11.631415315144897,frequency_weighted_midpoint
chen_pct_change_equal_k7,percentage_change,equal_length,7,1961,2023,7,0,A3,A3;A4;A5;A1;A2;A6,A3:3;A4:3;A5:3;A1:1;A2:1;A6:1,12,1.0284319482867372,frequency_weighted_midpoint
chen_pct_change_equal_k7,percentage_change,equal_length,7,1961,2023,7,0,A4,A4;A2;A5;A3;A7,A4:13;A2:3;A5:3;A3:2;A7:2,23,3.9008120577031606,frequency_weighted_midpoint
chen_pct_change_equal_k7,percentage_change,equal_length,7,1961,2023,7,0,A5,A3;A4;A5;A2;A6,A3:4;A4:3;A5:2;A2:1;A6:1,11,1.69575257976732,frequency_weighted_midpoint
