model_id,interval_count,train_start_year,train_end_year,interval_id,state,lower_bound,upper_bound,midpoint,is_final_interval,interval_strategy,requested_interval_count,effective_interval_count,duplicate_boundary_count,margin_fraction
chen_equal_k5,5,1961,2023,1,A1,0.18725,0.26711,0.22718,False,equal_length,5,5,0,0.05
chen_equal_k5,5,1961,2023,2,A2,0.26711,0.34697,0.30704,False,equal_length,5,5,0,0.05
chen_equal_k5,5,1961,2023,3,A3,0.34697,0.42683000000000004,0.3869,False,equal_length,5,5,0,0.05
chen_equal_k5,5,1961,2023,4,A4,0.42683000000000004,0.50669,0.46676,False,equal_length,5,5,0,0.05
chen_equal_k5,5,1961,2023,5,A5,0.50669,0.58655,0.54662,True,equal_length,5,5,0,0.05
chen_equal_k7,7,1961,2023,1,A1,0.18725,0.24429285714285714,0.21577142857142856,False,equal_length,7,7,0,0.05
chen_equal_k7,7,1961,2023,2,A2,0.24429285714285714,0.30133571428571426,0.2728142857142857,False,equal_length,7,7,0,0.05
chen_equal_k7,7,1961,2023,3,A3,0.30133571428571426,0.35837857142857144,0.32985714285714285,False,equal_length,7,7,0,0.05
chen_equal_k7,7,1961,2023,4,A4,0.35837857142857144,0.41542142857142855,0.3869,False,equal_length,7,7,0,0.05
chen_equal_k7,7,1961,2023,5,A5,0.41542142857142855,0.47246428571428567,0.4439428571428571,False,equal_length,7,7,0,0.05
chen_equal_k7,7,1961,2023,6,A6,0.47246428571428567,0.5295071428571428,0.5009857142857143,False,equal_length,7,7,0,0.05
chen_equal_k7,7,1961,2023,7,A7,0.5295071428571428,0.58655,0.5580285714285714,True,equal_length,7,7,0,0.05
chen_equal_k9,9,1961,2023,1,A1,0.18725,0.23161666666666667,0.20943333333333333,False,equal_length,9,9,0,0.05
chen_equal_k9,9,1961,2023,2,A2,0.23161666666666667,0.27598333333333336,0.2538,False,equal_length,9,9,0,0.05
chen_equal_k9,9,1961,2023,3,A3,0.27598333333333336,0.32035,0.2981666666666667,False,equal_length,9,9,0,0.05
chen_equal_k9,9,1961,2023,4,A4,0.32035,0.3647166666666667,0.34253333333333336,False,equal_length,9,9,0,0.05
chen_equal_k9,9,1961,2023,5,A5,0.3647166666666667,0.40908333333333335,0.3869,False,equal_length,9,9,0,0.05
chen_equal_k9,9,1961,2023,6,A6,0.40908333333333335,0.45345,0.4312666666666667,False,equal_length,9,9,0,0.05
chen_equal_k9,9,1961,2023,7,A7,0.45345,0.4978166666666667,0.47563333333333335,False,equal_length,9,9,0,0.05
chen_equal_k9,9,1961,2023,8,A8,0.4978166666666667,0.5421833333333334,0.52,False,equal_length,9,9,0,0.05
chen_equal_k9,9,1961,2023,9,A9,0.5421833333333334,0.58655,0.5643666666666667,True,equal_length,9,9,0,0.05
chen_equal_k11,11,1961,2023,1,A1,0.18725,0.22355,0.2054,False,equal_length,11,11,0,0.05
chen_equal_k11,11,1961,2023,2,A2,0.22355,0.25985,0.24170000000000003,False,equal_length,11,11,0,0.05
chen_equal_k11,11,1961,2023,3,A3,0.25985,0.29615,0.278,False,equal_length,11,11,0,0.05
chen_equal_k11,11,1961,2023,4,A4,0.29615,0.33245,0.3143,False,equal_length,11,11,0,0.05
chen_equal_k11,11,1961,2023,5,A5,0.33245,0.36875,0.3506,False,equal_length,11,11,0,0.05
chen_equal_k11,11,1961,2023,6,A6,0.36875,0.40505,0.3869,False,equal_length,11,11,0,0.05
chen_equal_k11,11,1961,2023,7,A7,0.40505,0.44135,0.4232,False,equal_length,11,11,0,0.05
chen_equal_k11,11,1961,2023,8,A8,0.44135,0.47765,0.4595,False,equal_length,11,11,0,0.05
chen_equal_k11,11,1961,2023,9,A9,0.47765,0.51395,0.4958,False,equal_length,11,11,0,0.05
chen_equal_k11,11,1961,2023,10,A10,0.51395,0.55025,0.5321,False,equal_length,11,11,0,0.05
chen_equal_k11,11,1961,2023,11,A11,0.55025,0.58655,0.5684,True,equal_length,11,11,0,0.05
