model_id,interval_count,train_start_year,train_end_year,interval_id,state,lower_bound,upper_bound,midpoint,is_final_interval,interval_strategy,requested_interval_count,effective_interval_count,duplicate_boundary_count,margin_fraction
chen_adaptive_k5,5,1961,2023,1,A1,0.2054,0.240680012,0.223040006,False,adaptive_quantile,5,5,0,
chen_adaptive_k5,5,1961,2023,2,A2,0.240680012,0.288220032,0.264450022,False,adaptive_quantile,5,5,0,
chen_adaptive_k5,5,1961,2023,3,A3,0.288220032,0.36950002,0.32886002599999997,False,adaptive_quantile,5,5,0,
chen_adaptive_k5,5,1961,2023,4,A4,0.36950002,0.44142001200000003,0.40546001600000003,False,adaptive_quantile,5,5,0,
chen_adaptive_k5,5,1961,2023,5,A5,0.44142001200000003,0.5684,0.504910006,True,adaptive_quantile,5,5,0,
chen_adaptive_k7,7,1961,2023,1,A1,0.2054,0.23360001,0.219500005,False,adaptive_quantile,7,7,0,
chen_adaptive_k7,7,1961,2023,2,A2,0.23360001,0.26921429999999996,0.251407155,False,adaptive_quantile,7,7,0,
chen_adaptive_k7,7,1961,2023,3,A3,0.26921429999999996,0.29167144142857143,0.2804428707142857,False,adaptive_quantile,7,7,0,
chen_adaptive_k7,7,1961,2023,4,A4,0.29167144142857143,0.35121430571428564,0.32144287357142853,False,adaptive_quantile,7,7,0,
chen_adaptive_k7,7,1961,2023,5,A5,0.35121430571428564,0.41971432,0.3854643128571428,False,adaptive_quantile,7,7,0,
chen_adaptive_k7,7,1961,2023,6,A6,0.41971432,0.5114429,0.46557861,False,adaptive_quantile,7,7,0,
chen_adaptive_k7,7,1961,2023,7,A7,0.5114429,0.5684,0.53992145,True,adaptive_quantile,7,7,0,
chen_adaptive_k9,9,1961,2023,1,A1,0.2054,0.2305777777777778,0.2179888888888889,False,adaptive_quantile,9,9,0,
chen_adaptive_k9,9,1961,2023,2,A2,0.2305777777777778,0.24748889666666665,0.23903333722222223,False,adaptive_quantile,9,9,0,
chen_adaptive_k9,9,1961,2023,3,A3,0.24748889666666665,0.2833,0.2653944483333333,False,adaptive_quantile,9,9,0,
chen_adaptive_k9,9,1961,2023,4,A4,0.2833,0.29648888888888886,0.28989444444444445,False,adaptive_quantile,9,9,0,
chen_adaptive_k9,9,1961,2023,5,A5,0.29648888888888886,0.33860002,0.31754445444444446,False,adaptive_quantile,9,9,0,
chen_adaptive_k9,9,1961,2023,6,A6,0.33860002,0.4,0.36930001,False,adaptive_quantile,9,9,0,
chen_adaptive_k9,9,1961,2023,7,A7,0.4,0.43397780111111106,0.41698890055555554,False,adaptive_quantile,9,9,0,
chen_adaptive_k9,9,1961,2023,8,A8,0.43397780111111106,0.5223111166666666,0.47814445888888885,False,adaptive_quantile,9,9,0,
chen_adaptive_k9,9,1961,2023,9,A9,0.5223111166666666,0.5684,0.5453555583333334,True,adaptive_quantile,9,9,0,
chen_adaptive_k11,11,1961,2023,1,A1,0.2054,0.22640000363636364,0.2159000018181818,False,adaptive_quantile,11,11,0,
chen_adaptive_k11,11,1961,2023,2,A2,0.22640000363636364,0.2367818309090909,0.2315909172727273,False,adaptive_quantile,11,11,0,
chen_adaptive_k11,11,1961,2023,3,A3,0.2367818309090909,0.25422727272727275,0.24550455181818182,False,adaptive_quantile,11,11,0,
chen_adaptive_k11,11,1961,2023,4,A4,0.25422727272727275,0.28538184272727274,0.26980455772727274,False,adaptive_quantile,11,11,0,
chen_adaptive_k11,11,1961,2023,5,A5,0.28538184272727274,0.3,0.2926909213636364,False,adaptive_quantile,11,11,0,
chen_adaptive_k11,11,1961,2023,6,A6,0.3,0.33514547454545457,0.3175727372727273,False,adaptive_quantile,11,11,0,
chen_adaptive_k11,11,1961,2023,7,A7,0.33514547454545457,0.38889090909090906,0.36201819181818184,False,adaptive_quantile,11,11,0,
chen_adaptive_k11,11,1961,2023,8,A8,0.38889090909090906,0.4201182,0.40450455454545453,False,adaptive_quantile,11,11,0,
chen_adaptive_k11,11,1961,2023,9,A9,0.4201182,0.492027314545455,0.4560727572727275,False,adaptive_quantile,11,11,0,
chen_adaptive_k11,11,1961,2023,10,A10,0.492027314545455,0.5255273154545456,0.5087773150000003,False,adaptive_quantile,11,11,0,
chen_adaptive_k11,11,1961,2023,11,A11,0.5255273154545456,0.5684,0.5469636577272727,True,adaptive_quantile,11,11,0,
